Stock,Date,Prediction Date,Infered Close
META,24/06/2024,01/07/2024,428.5196838378906
AAPL,24/06/2024,01/07/2024,197.43768310546875
GOOG,24/06/2024,01/07/2024,169.8751220703125
AMZN,24/06/2024,01/07/2024,194.0777130126953
MSFT,24/06/2024,01/07/2024,372.11627197265625
NVDA,24/06/2024,01/07/2024,317.09674072265625
AMD,24/06/2024,01/07/2024,153.99261474609375
AAPL,21/06/2024,28/6/2024,218.630005
AMD,21/06/2024,28/6/2024,157.240005
AMZN,21/06/2024,28/6/2024,184.289993
GOOG,21/06/2024,28/6/2024,178.910004
META,21/06/2024,28/6/2024,506.0
MSFT,21/06/2024,28/6/2024,450.140015
NVDA,21/06/2024,28/6/2024,136.330002
AAPL,20/06/2024,27/6/2024,218.949997
AMD,20/06/2024,27/6/2024,159.229996
AMZN,20/06/2024,27/6/2024,185.0
GOOG,20/06/2024,27/6/2024,179.919998
META,20/06/2024,27/6/2024,510.75
MSFT,20/06/2024,27/6/2024,450.940002
NVDA,20/06/2024,27/6/2024,133.729996
AAPL,16/06/2024,23/6/2024,215.169998
AMD,16/06/2024,23/6/2024,161.339996
AMZN,16/06/2024,23/6/2024,183.720001
GOOG,16/06/2024,23/6/2024,178.729996
META,16/06/2024,23/6/2024,507.149994
MSFT,16/06/2024,23/6/2024,443.140015
NVDA,16/06/2024,23/6/2024,132.839996
AAPL,15/06/2024,22/6/2024,216.75
AMD,15/06/2024,22/6/2024,162.660004
AMZN,15/06/2024,22/6/2024,187.669998
GOOG,15/06/2024,22/6/2024,178.509995
META,15/06/2024,22/6/2024,509.359985
MSFT,15/06/2024,22/6/2024,443.390015
NVDA,15/06/2024,22/6/2024,129.800003
AAPL,14/06/2024,21/6/2024,220.199997
AMD,14/06/2024,21/6/2024,162.240005
AMZN,14/06/2024,21/6/2024,188.350006
GOOG,14/06/2024,21/6/2024,182.080002
META,14/06/2024,21/6/2024,514.01001
MSFT,14/06/2024,21/6/2024,443.399994
NVDA,14/06/2024,21/6/2024,126.879997
AAPL,13/06/2024,20/6/2024,207.160004
AMD,13/06/2024,20/6/2024,161.539993
AMZN,13/06/2024,20/6/2024,187.770004
