STOCK,Date,Open,High,Low,Close,Adj Close,Volume,Close_7_Days
AMD,20/5/2024,165.550003,168.490005,164.470001,166.330002,166.330002,45575800,
NVDA,20/5/2024,937.5,952,934.400024,947.799988,947.799988,31767800,
MSFT,20/5/2024,420.209991,426.769989,419.98999,425.339996,425.339996,16246400,
AMZN,20/5/2024,184.339996,186.669998,183.279999,183.539993,183.539993,30469800,
GOOG,20/5/2024,177.309998,179.949997,177.225006,178.460007,178.460007,17480300,
AAPL,20/5/2024,189.330002,191.919998,189.009995,191.039993,191.039993,44323200,
META,20/5/2024,469.950012,473.200012,467.040009,468.839996,468.839996,11734200,
AMD,17/5/2024,168.429993,169.720001,162.320007,164.470001,164.470001,65944400,
NVDA,17/5/2024,943.690002,947.400024,918.059998,924.789978,924.789978,35969100,
MSFT,17/5/2024,422.540009,422.920013,418.029999,420.209991,420.209991,15352200,
AMZN,17/5/2024,183.759995,185.300003,183.350006,184.699997,184.699997,33175700,
GOOG,17/5/2024,175.550003,177.494995,174.979996,177.289993,177.289993,16546400,
AAPL,17/5/2024,189.509995,190.809998,189.179993,189.869995,189.869995,41282900,
META,17/5/2024,470.829987,472.799988,468.420013,471.910004,471.910004,10807300,
AMD,16/5/2024,160.919998,168.059998,159.899994,162.619995,162.619995,76726700,
NVDA,16/5/2024,949.099976,958.190002,941.030029,943.590027,943.590027,32395200,
MSFT,16/5/2024,421.799988,425.420013,420.350006,420.98999,420.98999,17530100,
AMZN,16/5/2024,185.600006,187.309998,183.460007,183.630005,183.630005,38834500,
GOOG,16/5/2024,174.600006,176.339996,174.050003,175.429993,175.429993,17247300,
AAPL,16/5/2024,190.470001,191.100006,189.660004,189.839996,189.839996,52845200,
META,16/5/2024,475,477.690002,472.75,473.230011,473.230011,16608200,
AMD,15/5/2024,155.589996,159.690002,154.699997,159.669998,159.669998,43195900,
NVDA,15/5/2024,924.719971,948.619995,915.98999,946.299988,946.299988,41773500,
MSFT,15/5/2024,417.899994,423.809998,417.269989,423.079987,423.079987,22239500,
AMZN,15/5/2024,185.970001,186.720001,182.729996,185.990005,185.990005,75459900,
GOOG,15/5/2024,172.300003,174.046005,172.029999,173.880005,173.880005,20958200,
AAPL,15/5/2024,187.910004,190.649994,187.369995,189.720001,189.720001,70400000,
META,15/5/2024,474.980011,482.5,471.200012,481.540009,481.540009,13100500,
AMD,14/5/2024,150.429993,153.490005,148.779999,153.160004,153.160004,31938300,
NVDA,14/5/2024,895.98999,916.51001,889.340027,913.559998,913.559998,29650700,
MSFT,14/5/2024,412.019989,417.48999,411.549988,416.559998,415.809998,15109300,
AMZN,14/5/2024,183.820007,187.720001,183.449997,187.070007,187.070007,38698200,
GOOG,14/5/2024,171.589996,172.779999,170.419998,171.929993,171.929993,18729500,
AAPL,14/5/2024,187.509995,188.300003,186.289993,187.429993,187.429993,52393600,
META,14/5/2024,463.369995,472.540009,460.079987,471.850006,471.850006,10478600,
AMD,13/5/2024,151.279999,153.330002,150.399994,150.559998,150.559998,27859200,166.330002
NVDA,13/5/2024,904.780029,909.97998,885.289978,903.98999,903.98999,28968000,947.799988
MSFT,13/5/2024,418.01001,418.350006,410.820007,413.720001,412.975098,15440200,425.339996
AMZN,13/5/2024,188,188.309998,185.360001,186.570007,186.570007,24898600,183.539993
GOOG,13/5/2024,165.847,170.949997,165.759995,170.899994,170.899994,19648600,178.460007
AAPL,13/5/2024,185.440002,187.100006,184.619995,186.279999,186.279999,72044800,191.039993
META,13/5/2024,472.75,473.350006,462.850006,468.01001,468.01001,14668800,468.839996
AMD,10/5/2024,154.289993,156.369995,151.309998,151.919998,151.919998,37652800,164.470001
NVDA,10/5/2024,903.049988,914.01001,892.27002,898.780029,898.780029,33532500,924.789978
MSFT,10/5/2024,412.940002,415.380005,411.799988,414.73999,413.993256,13402300,420.209991
AMZN,10/5/2024,189.160004,189.889999,186.929993,187.479996,187.479996,34141800,184.699997
GOOG,10/5/2024,169.690002,171.339996,167.910004,170.289993,170.289993,18740500,177.289993
